BENCH;backend;size;block_size;iterations;thread;gpus;time
hotspot;PARALLEL_BACK_STARPU;16384;1024;5;23;1;10.87500858
nbody;PARALLEL_BACK_STARPU;114688;2048;5;26;2;24.46757400
hotspot;PARALLEL_BACK_STARPU;12288;1024;5;23;3;4.08403111
hotspot;PARALLEL_BACK_STARPU;18432;1024;5;24;1;13.26115322
hotspot;PARALLEL_BACK_STARPU;14336;1024;5;22;1;8.52110386
hotspot;PARALLEL_BACK_STARPU;12288;1024;5;24;2;4.56788301
nbody;PARALLEL_BACK_STARPU;81920;2048;5;23;2;9.53971800
hotspot;PARALLEL_BACK_STARPU;16384;1024;5;23;2;7.94280195
hotspot;PARALLEL_BACK_STARPU;20480;1024;5;25;2;11.26173878
nbody;PARALLEL_BACK_STARPU;131072;2048;5;26;1;30.26551100
nbody;PARALLEL_BACK_STARPU;98304;2048;5;25;2;15.85165400
nbody;PARALLEL_BACK_STARPU;98304;2048;5;22;4;11.45550400
hotspot;PARALLEL_BACK_STARPU;16384;1024;5;24;2;7.81013393
hotspot;PARALLEL_BACK_STARPU;12288;1024;5;23;4;4.00176907
nbody;PARALLEL_BACK_STARPU;131072;2048;5;24;2;31.58132600
nbody;PARALLEL_BACK_STARPU;65536;2048;5;23;3;7.40522100
hotspot;PARALLEL_BACK_STARPU;16384;1024;5;24;1;10.79685402
nbody;PARALLEL_BACK_STARPU;114688;2048;5;23;2;27.15866200
hotspot;PARALLEL_BACK_STARPU;18432;1024;5;22;1;13.50588512
nbody;PARALLEL_BACK_STARPU;98304;2048;5;26;2;15.26141000
hotspot;PARALLEL_BACK_STARPU;18432;1024;5;24;1;13.29733276
nbody;PARALLEL_BACK_STARPU;81920;2048;5;24;4;9.67101100
